id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1136,Gianluca Lapadula,7,240,1,0.3102566674351692,0,0.08368366956710815,6,3,1,0,F S,Cagliari,1,0.3102566674351692,0.40314213186502457,0.15275759994983673
1164,Cristiano Biraghi,15,1209,1,0.47557286731898785,2,0.5449922736734152,9,13,4,0,D S,Fiorentina,1,0.47557286731898785,2.80122728087008,2.565152835100889
1204,Patric,11,990,1,0.6568253040313721,0,0.07076457887887955,1,1,3,0,D,Lazio,1,0.6568253040313721,3.621034687384963,3.550270026549697
1208,Felipe Anderson,19,1339,1,2.811968930065632,6,4.233581148087978,20,21,1,0,F S,Lazio,1,2.811968930065632,10.107225498184562,4.114841448143125
1301,Daniele Rugani,10,574,1,1.7276477813720703,0,0.024747397750616074,3,1,2,0,D S,Juventus,1,1.7276477813720703,2.2788926009088755,2.254145199432969
1362,Simy,4,224,1,0.7283927872776985,0,0.007851644419133663,4,1,0,0,F S,Salernitana,1,0.7283927872776985,0.8104783445596695,0.141441754065454
1449,Federico Di Francesco,2,13,1,0.10789310187101364,0,0,2,0,0,0,S,Lecce,1,0.10789310187101364,0.17980405688285828,0.16959281265735626
1461,Pol Lirola,9,425,1,0.5608487129211426,1,0.6795476227998734,1,6,1,0,D S,Frosinone,1,0.5608487129211426,1.9356714487075806,1.2151089757680893
1463,Francesco Acerbi,16,1440,1,0.8611980956047773,1,1.5077504962682724,11,5,1,0,D,Inter,1,0.8611980956047773,10.519854998216033,10.335509434342384
1474,Alfred Duncan,16,1130,1,1.3859111983329058,3,1.2793640792369843,14,24,2,0,M S,Fiorentina,1,1.3859111983329058,4.514797946438193,2.5171881653368473
1496,Roberto Gagliardini,19,1587,1,3.4756655683740973,1,0.6569915488362312,27,15,4,0,D M,Monza,1,3.4756655683740973,10.21579148992896,8.111236844211817
1500,Leonardo Spinazzola,14,936,1,0.21980905067175627,2,2.486758471466601,6,20,0,0,D M S,Roma,1,0.21980905067175627,4.820678666234016,2.8774397522211075
1725,Christian Kabasele,11,856,1,0.9381369650363922,1,0.5993434190750122,6,2,5,0,D S,Udinese,1,0.9381369650363922,1.0512244952842593,0.6647053016349673
1826,Nicola Sansone,11,291,1,1.4421178922057152,2,0.7666680328547955,9,7,1,0,F M S,Lecce,1,1.4421178922057152,1.4288963861763477,0.6929407846182585
1970,Jaime Báez,10,522,1,0.4376501403748989,0,0.6646343022584915,9,8,1,0,F M S,Frosinone,1,0.4376501403748989,1.709488045424223,1.1082226857542992
1971,Simone Romagnoli,16,1288,1,0.2364786807447672,1,0.3818262815475464,4,2,3,0,D S,Frosinone,1,0.2364786807447672,2.490204408764839,2.402454987168312
2019,Federico Bonazzoli,14,548,1,1.2268027514219284,0,0.13379519246518612,19,5,2,0,F S,Verona,1,1.2268027514219284,2.2600959464907646,1.6555594000965357
2053,Martin Erlic,19,1608,1,1.2371639553457499,0,0,7,0,3,0,D S,Sassuolo,1,1.2371639553457499,3.309998517856002,3.309998517856002
2244,Danilo,14,1188,1,0.6590433288365602,1,0.9872171198949218,11,14,4,0,D S,Juventus,1,0.6590433288365602,6.469184406101704,5.365947602316737
2711,Aleksey Miranchuk,10,347,1,1.0464012324810028,2,0.9079257175326347,5,7,0,0,M S,Atalanta,1,1.0464012324810028,2.7543664798140526,1.2478721216320992
2774,Sardar Azmoun,13,217,1,1.0225104968994856,0,0.8439649268984795,9,3,2,0,S,Roma,1,1.0225104968994856,2.4558166600763798,1.1305194906890392
3821,Rolando Mandragora,16,680,1,1.4170107450336218,1,0.4985228441655636,12,5,1,0,M S,Fiorentina,1,1.4170107450336218,1.7954684803262353,1.2449371833354235
4951,Grigoris Kastanos,16,979,1,1.5285426210612059,3,1.9507930632680655,21,23,4,0,D M S,Salernitana,1,1.5285426210612059,4.205114073120058,1.8354095183312893
4970,Luca Pellegrini,10,381,1,0.20438261609524488,0,0.09794329851865768,4,1,4,0,D S,Lazio,1,0.20438261609524488,0.837810855358839,0.711573388427496
5228,Renato Sanches,5,111,1,0.2420009896159172,0,0.1117553822696209,2,3,2,0,M S,Roma,1,0.2420009896159172,0.4728197306394577,0.3768625156953931
5240,Ondrej Duda,16,1259,1,1.1752853617072105,2,1.5162752978503704,14,25,5,1,M S,Verona,1,1.1752853617072105,3.529610611498356,2.0069963801652193
5353,Josip Brekalo,10,587,1,0.458269608207047,0,0.2554470170289278,8,5,0,0,M S,Fiorentina,1,0.458269608207047,2.5929108634591103,2.0476566180586815
5759,Matteo Guendouzi,17,1173,1,0.8301158752292395,0,1.4797777505591512,14,11,0,0,M S,Lazio,1,0.8301158752292395,4.419012982398272,3.17139383405447
6145,Daichi Kamada,16,740,1,0.9532637866213918,1,0.587058836594224,17,9,1,0,M S,Lazio,1,0.9532637866213918,3.3709703385829926,2.0289786979556084
6212,Mattia Bani,14,1147,1,0.7493061320856214,0,0.021436942741274834,4,1,6,0,D,Genoa,1,0.7493061320856214,0.9692053198814392,0.9692053198814392
6414,Yann Bisseck,7,365,1,0.3739434741437435,0,0.49121755361557007,6,1,0,0,D S,Inter,1,0.3739434741437435,4.441659554839134,4.401614531874657
6517,Charalampos Lykogiannis,13,644,1,0.9002732466906309,0,0.46354811266064644,8,6,2,0,D S,Bologna,1,0.9002732466906309,2.721344955265522,1.7487549744546413
6672,Riccardo Sottil,12,456,1,1.338057480752468,1,0.8196294158697128,20,5,0,0,M S,Fiorentina,1,1.338057480752468,3.036947749555111,1.143155686557293
6696,Luca Ranieri,12,834,1,0.32245307974517345,0,0.11367889679968357,2,2,8,0,D S,Fiorentina,1,0.32245307974517345,1.4224849082529545,1.3088059686124325
