"","id","player_name","games","time","goals","x_g","assists","x_a","shots","key_passes","yellow_cards","red_cards","position","team_title","npg","npx_g","x_g_chain","x_g_buildup","liga","season","goals_p90","x_g_p90","assists_p90","x_a_p90","shots_p90","key_passes_p90","npg_p90","npx_g_p90","x_g_chain_p90","x_g_buildup_p90"
"1",8824,"Jude Bellingham",14,1220,12,7.60090046748519,2,2.25716079026461,34,26,2,0,"F M","Real Madrid",12,7.60090046748519,12.611017242074,5.55480268597603,"España","23-24",0.885245901639344,0.560722165634153,0.147540983606557,0.166511861576897,2.50819672131148,1.91803278688525,0.885245901639344,0.560722165634153,0.930320944087426,0.409780526014625
"2",2252,"Borja Mayoral",16,1283,9,7.17534513026476,1,0.887220162898302,29,10,2,0,"F M S","Getafe",7,5.68878988549113,6.84736305102706,0.821565859019756,"España","23-24",0.631332813717849,0.503336758942968,0.0701480904130943,0.0622368002033103,2.03429462197973,0.701480904130943,0.49103663289166,0.399057747228528,0.480329442394728,0.0576312761588293
"3",2270,"Antoine Griezmann",15,1272,9,6.68379952758551,2,3.23100732639432,32,25,3,0,"F M","Atletico Madrid",7,5.19724424928427,16.2575277388096,8.94451116770506,"España","23-24",0.636792452830189,0.472910343932937,0.141509433962264,0.228609008942994,2.26415094339623,1.7688679245283,0.495283018867924,0.367729545939925,1.15029677397238,0.632866356205547
"4",227,"Robert Lewandowski",14,1099,8,10.12171972543,3,1.35349222272635,43,10,3,0,"F S","Barcelona",6,8.63516453653574,14.0347440578043,5.49432095699012,"España","23-24",0.655141037306642,0.828894245030664,0.245677888989991,0.110841037347927,3.5213830755232,0.818926296633303,0.491355777979982,0.707156331472445,1.14934209754539,0.449944391382266
"5",1235,"Ante Budimir",16,1144,8,6.87008477840573,2,1.58292597904801,38,5,4,0,"F S","Osasuna",5,4.6402519736439,6.24781522992998,0.941258544102311,"España","23-24",0.629370629370629,0.540478697601849,0.157342657342657,0.124530889960071,2.98951048951049,0.393356643356643,0.393356643356643,0.365054788136321,0.491523925431554,0.0740500602877692
"6",1804,"Álvaro Morata",14,1050,8,8.5398902464658,1,0.604448962956667,37,5,1,1,"F S","Atletico Madrid",8,8.5398902464658,10.8623270690441,2.80183487385511,"España","23-24",0.685714285714286,0.731990592554212,0.0857142857142857,0.0518099111105715,3.17142857142857,0.428571428571429,0.685714285714286,0.731990592554212,0.931056605918066,0.240157274901867
"7",2120,"Gerard Moreno",14,1117,8,5.54732044972479,2,3.1468528714031,31,23,0,0,"F M S","Villarreal",6,4.06076519005001,8.13398405350745,3.41133455000818,"España","23-24",0.644583706356312,0.446964046978721,0.161145926589078,0.253551260900876,2.49776186213071,1.8531781557744,0.483437779767234,0.327187884605641,0.655379198581621,0.274861333483202
"8",11736,"Artem Dovbyk",15,925,8,7.55001286789775,4,2.71103168558329,38,10,0,0,"F S","Girona",7,6.80673525854945,9.27419053018093,1.92308317497373,"España","23-24",0.778378378378378,0.734595846606268,0.389189189189189,0.26377605589459,3.6972972972973,0.972972972972973,0.681081081081081,0.662276944075082,0.902353673206793,0.187110795402849
"9",2234,"Mikel Oyarzabal",15,888,7,6.6479627341032,1,0.789144039154053,20,10,1,0,"F S","Real Sociedad",5,5.16140754520893,5.63572541996837,0.544988611713052,"España","23-24",0.709459459459459,0.673780006834784,0.101351351351351,0.079980814779127,2.02702702702703,1.01351351351351,0.506756756756757,0.523115629581986,0.571188387158956,0.0552353322682147
"10",2399,"Iñaki Williams",15,1330,7,6.35829197987914,3,3.90564520098269,42,25,2,0,"F M","Athletic Club",7,6.35829197987914,11.3829364478588,1.32680256292224,"España","23-24",0.473684210526316,0.430260359540694,0.203007518796992,0.264291780517626,2.84210526315789,1.69172932330827,0.473684210526316,0.430260359540694,0.770273894967889,0.0897836320774448
"11",6637,"Hugo Duro",16,1341,7,7.08569253236055,2,1.21510441415012,30,7,2,0,"F M S","Valencia",7,7.08569253236055,8.49481279961765,1.11036573257297,"España","23-24",0.469798657718121,0.475549834386614,0.134228187919463,0.0815506318221557,2.01342281879195,0.469798657718121,0.469798657718121,0.475549834386614,0.570121664403869,0.0745211901055685
"12",7020,"Gorka Guruzeta",15,1074,7,6.49362742342055,1,1.0195224750787,29,12,2,0,"F S","Athletic Club",7,6.49362742342055,7.52780986763537,1.08480058982968,"España","23-24",0.58659217877095,0.544158722633007,0.0837988826815642,0.085434844280338,2.43016759776536,1.00558659217877,0.58659217877095,0.544158722633007,0.630822055947098,0.090905077360029
"13",1709,"Cristhian Stuani",16,507,6,6.87997926771641,2,1.74452294409275,23,8,5,0,"F S","Girona",6,6.87997926771641,7.72006511688232,0.24471765384078,"España","23-24",1.06508875739645,1.2212980948609,0.355029585798817,0.309678629128891,4.08284023668639,1.42011834319527,1.06508875739645,1.2212980948609,1.37042576039331,0.0434410036403751
"14",2361,"Willian José",13,785,6,3.70986713841558,1,0.93313586525619,20,11,0,1,"F S","Real Betis",6,3.70986713841558,5.12637960910797,0.779083523899317,"España","23-24",0.687898089171974,0.425335085932996,0.114649681528662,0.106983729774595,2.29299363057325,1.26114649681529,0.687898089171974,0.425335085932996,0.587737789579258,0.0893216778992847
"15",6531,"Alexander Sørloth",14,999,6,5.18717290461063,1,1.36212548427284,26,10,1,0,"F S","Villarreal",6,5.18717290461063,6.48378103598952,0.410941995680332,"España","23-24",0.540540540540541,0.467312874289246,0.0900900900900901,0.122714007592148,2.34234234234234,0.900900900900901,0.540540540540541,0.467312874289246,0.584124417656714,0.0370218014126425
